filename,detected,variant,avg_conf
20250814_112126185_iOS_jpg3.jpg,724,adaptive_mean,0.000%
20250814_112126185_iOS_jpg4.jpg,6323,otsu,0.000%
20250814_112134859_iOS_jpg3.jpg,112,clahe_otsu,0.000%
20250814_112134859_iOS_jpg4.jpg,,,0.000%
20250814_112143952_iOS_jpg44.jpg,,,0.000%
20250814_112153415_iOS_jpg9.jpg,,,0.000%
20250814_112203588_iOS_jpg18.jpg,,,0.000%
20250814_112203588_iOS_jpg19.jpg,,,0.000%
20250814_112203588_iOS_jpg21.jpg,,,0.000%
20250814_112203588_iOS_jpg23.jpg,,,0.000%
20250814_112203588_iOS_jpg32.jpg,,,0.000%
20250814_112203588_iOS_jpg33.jpg,2,otsu,0.000%
20250814_112203588_iOS_jpg34.jpg,,,0.000%
20250814_112203588_iOS_jpg5.jpg,,,0.000%
20250814_112203588_iOS_jpg6.jpg,,,0.000%
20250814_112210837_iOS_jpg18.jpg,7,otsu,29.000%
20250814_112210837_iOS_jpg21.jpg,,,0.000%
20250814_112218631_iOS_jpg4.jpg,,,0.000%
20250814_112218631_iOS_jpg5.jpg,,,0.000%
20250814_112224368_iOS_jpg21.jpg,,,0.000%
20250814_112506111_iOS_jpg.jpg,,,0.000%
20250814_112506111_iOS_jpg16.jpg,,,0.000%
20250814_112506111_iOS_jpg17.jpg,34,adaptive_mean,0.000%
20250814_112506111_iOS_jpg18.jpg,4,otsu,0.000%
20250814_112506111_iOS_jpg19.jpg,,,0.000%
20250814_112506111_iOS_jpg2.jpg,34,adaptive_mean,72.000%
20250814_112506111_iOS_jpg20.jpg,,,0.000%
20250814_112508305_iOS_jpg7.jpg,2024,adaptive_mean,0.000%
20250814_112508305_iOS_jpg9.jpg,29,otsu,0.000%
20250814_112514946_iOS_jpg15.jpg,22,clahe_otsu,0.000%
20250814_112514946_iOS_jpg16.jpg,4,clahe_otsu,0.000%
20250814_112514946_iOS_jpg17.jpg,2,clahe_otsu,0.000%
20250814_112514946_iOS_jpg18.jpg,62,adaptive_mean,0.000%
20250814_112514946_iOS_jpg19.jpg,6,adaptive_mean,62.000%
20250814_112514946_iOS_jpg20.jpg,7,otsu,0.000%
20250814_112525876_iOS_jpg2.jpg,47223,otsu,13.000%
20250814_112525876_iOS_jpg22.jpg,,,0.000%
20250814_112525876_iOS_jpg24.jpg,,,0.000%
20250814_112525876_iOS_jpg25.jpg,7,clahe_otsu,0.000%
20250814_112525876_iOS_jpg96.jpg,,,0.000%
20250814_112525876_iOS_jpg97.jpg,,,0.000%
20250814_112529095_iOS_jpg25.jpg,1,adaptive_mean,0.000%
20250814_112529095_iOS_jpg27.jpg,424,adaptive_mean,2.000%
20250814_112529095_iOS_jpg28.jpg,164,clahe_otsu,0.000%
20250814_112529095_iOS_jpg29.jpg,,,0.000%
20250814_112529095_iOS_jpg30.jpg,,,0.000%
20250814_112529095_iOS_jpg31.jpg,,,0.000%
20250814_112529095_iOS_jpg32.jpg,,,0.000%
20250814_112529095_iOS_jpg33.jpg,24,otsu,0.000%
20250814_112529095_iOS_jpg34.jpg,,,0.000%
20250814_112529095_iOS_jpg85.jpg,3,otsu,0.000%
20250814_112529095_iOS_jpg86.jpg,,,0.000%
20250814_112529095_iOS_jpg88.jpg,,,0.000%
20250814_112529095_iOS_jpg89.jpg,47,otsu,0.000%
20250814_112529095_iOS_jpg92.jpg,,,0.000%
20250814_112529095_iOS_jpg95.jpg,625,otsu,18.000%
20250814_112724678_iOS_jpg.jpg,,,0.000%
20250814_112724678_iOS_jpg3.jpg,,,0.000%
20250814_112724678_iOS_jpg44.jpg,,,0.000%
20250814_112724678_iOS_jpg45.jpg,4,clahe_otsu,0.000%
20250814_112724678_iOS_jpg46.jpg,,,0.000%
20250814_112724678_iOS_jpg48.jpg,,,0.000%
20250814_112724678_iOS_jpg51.jpg,,,0.000%
20250814_112727587_iOS_jpg12.jpg,,,0.000%
20250814_112727587_iOS_jpg2.jpg,,,0.000%
20250814_112727587_iOS_jpg26.jpg,2,adaptive_mean,13.000%
20250814_112727587_iOS_jpg28.jpg,,,0.000%
20250814_112727587_iOS_jpg29.jpg,,,0.000%
20250814_112727587_iOS_jpg4.jpg,4,adaptive_mean,0.000%
20250814_112727587_iOS_jpg6.jpg,,,0.000%
20250814_112727587_iOS_jpg83.jpg,,,0.000%
20250814_112727587_iOS_jpg85.jpg,3,adaptive_mean,0.000%
20250814_112805149_iOS_jpg19.jpg,,,0.000%
20250814_112805149_iOS_jpg21.jpg,,,0.000%
20250814_112805149_iOS_jpg22.jpg,,,0.000%
20250814_112806955_iOS_jpg.jpg,,,0.000%
20250814_112806955_iOS_jpg23.jpg,,,0.000%
20250814_112836924_iOS_jpg25.jpg,7,otsu,0.000%
20250814_112901673_iOS_jpg28.jpg,,,0.000%
CIMG5646.jpg,,,0.000%
Image-2-_jpg3.jpg,274,clahe_otsu,52.000%
Image-21-_jpg13.jpg,,,0.000%
Image-21-_jpg14.jpg,9,adaptive_mean,69.000%
Image-6-_jpg10.jpg,0,clahe_otsu,0.000%
Image-6-_jpg11.jpg,3,adaptive_mean,0.000%
Image-6-_jpg13.jpg,5,adaptive_mean,56.000%
Image-6-_jpg14.jpg,2,otsu,0.000%
Image-6-_jpg4.jpg,43,adaptive_mean,0.000%
Image-6-_jpg5.jpg,42,adaptive_mean,23.000%
Image-_22__jpg12.jpg,5,adaptive_mean,58.000%
