epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.27286,1.38358,0.55556,1,1.25283,0.00015,0.00015,0.00015
2,4.55939,1.26822,0.59259,1,1.11434,0.000310438,0.000310438,0.000310438
3,6.58994,1.054,0.72222,1,0.89423,0.00046873,0.00046873,0.00046873
4,8.56778,0.97991,0.74074,1,0.7889,0.000624877,0.000624877,0.000624877
5,10.4419,0.82557,0.75926,1,0.75305,0.00077888,0.00077888,0.00077888
6,12.4704,0.76588,0.75926,1,0.58367,0.000930737,0.000930737,0.000930737
7,14.5193,0.57631,0.75926,1,0.62073,0.00108045,0.00108045,0.00108045
8,16.5146,0.4813,0.77778,1,0.70174,0.00119225,0.00119225,0.00119225
9,18.4754,0.52199,0.74074,1,0.46547,0.001184,0.001184,0.001184
10,20.4062,0.3975,0.83333,1,0.48355,0.00117575,0.00117575,0.00117575
11,22.3722,0.34614,0.83333,1,0.42758,0.0011675,0.0011675,0.0011675
12,24.3555,0.33802,0.83333,1,0.31476,0.00115925,0.00115925,0.00115925
13,26.3315,0.27771,0.85185,1,0.29393,0.001151,0.001151,0.001151
14,28.4549,0.26741,0.88889,1,0.41638,0.00114275,0.00114275,0.00114275
15,30.5051,0.27332,0.7963,1,0.6304,0.0011345,0.0011345,0.0011345
16,32.56,0.19761,0.88889,1,0.33845,0.00112625,0.00112625,0.00112625
17,34.5441,0.17001,0.90741,1,0.24613,0.001118,0.001118,0.001118
18,36.532,0.29707,0.85185,1,0.28064,0.00110975,0.00110975,0.00110975
19,38.5436,0.24065,0.88889,1,0.25207,0.0011015,0.0011015,0.0011015
20,40.58,0.17375,0.85185,1,0.39832,0.00109325,0.00109325,0.00109325
21,42.5289,0.2371,0.85185,1,0.31386,0.001085,0.001085,0.001085
22,44.5475,0.19152,0.88889,1,0.33078,0.00107675,0.00107675,0.00107675
23,46.5866,0.15529,0.87037,1,0.35164,0.0010685,0.0010685,0.0010685
